MK114118.1	1976
MK028855.1	1995
MH121168.1	1976
MH121166.1	1976
MH121165.1	1995
MH121164.1	1995
MH121161.1	2014
MG572235.1	1995-05-04
MG572234.1	2014-03-17
MG572233.1	2014-03-20
MG572232.1	2014-03-19
MG572231.1	2014-03-17
MG572230.1	2014-03-20
MG572229.1	2014-03-19
KT013256.4	2014-03-20
KT013259.3	2014-03-17
KT013258.3	2014-03-17
KT013257.3	2014-03-20
KT013255.3	2014-03-19
KT013254.3	2014-03-19
MH425138.1	2014-08-09
MK731994.1	2018-08-14
MK731993.1	2018-08-11
MK731992.1	2018-08-20
MK731991.1	2018-08-11
MK731990.1	2018-08-17
MK731989.1	2018-08-16
MK731988.1	2018-08-13
MK731987.1	2018-08-11
MK731986.1	2018-08-16
MK731985.1	2018-08-13
MK731984.1	2018-08-11
MK163675.1	2018-09-05
MK163674.1	2018-09-04
MK163673.1	2018-09-03
MK163672.1	2018-09-01
MK163671.1	2018-08-31
MK163670.1	2018-08-31
MK163669.1	2018-08-31
MK163668.1	2018-08-30
MK163667.1	2018-08-29
MK163666.1	2018-08-25
MK163665.1	2018-08-25
MK163664.1	2018-08-25
MK163663.1	2018-08-24
MK163662.1	2018-08-23
MK163661.1	2018-08-19
MK163660.1	2018-08-11
MK163659.1	2018-08-11
MK163658.1	2018-08-11
MK163657.1	2018-08-11
MK163656.1	2018-08-11
MK163655.1	2018-08-11
MK163654.1	2018-08-11
MK163653.1	2018-08-11
MK163652.1	2018-08-11
MK163651.1	2018-08-10
MK163650.1	2018-08-08
MK163649.1	2018-08-08
MK163648.1	2018-08-06
MK163647.1	2018-08-04
MK163646.1	2018-08-03
MK163645.1	2018-08-03
MK163644.1	2018-08-03
MK088515.1	2017-05-01
MK088510.1	2018-08-14
KU296846.1	2015-05-31
KU296845.1	2014-12-23
KU296844.1	2015-04-04
KU296843.1	2015-06-28
KU296842.1	2015-02-24
KU296841.1	2015-03-12
KU296840.1	2015-03-03
KU296839.1	2015-01-12
KU296838.1	2015-07-10
KU296837.1	2015-05-29
KU296836.1	2015-01-04
KU296835.1	2014-12-24
KU296834.1	2015-01-11
KU296833.1	2015-02-22
KU296832.1	2015-02-25
KU296831.1	2015-04-29
KU296830.1	2015-06-19
KU296829.1	2015-03-03
KU296828.1	2015-03-01
KU296827.1	2015-03-03
KU296826.1	2015-01-05
KU296825.1	2014-12-27
KU296824.1	2014-12-30
KU296823.1	2015-02-02
KU296822.1	2015-06-28
KU296821.1	2015-09-07
KU296820.1	2014-12-30
KU296819.1	2015-05-27
KU296818.1	2015-02-26
KU296817.1	2015-02-03
KU296816.1	2015-01-03
KU296815.1	2015-01-11
KU296814.1	2014-12-28
KU296813.1	2015-01-21
KU296812.1	2014-12-02
KU296811.1	2015-01-25
KU296810.1	2015-02-25
KU296809.1	2015-02-24
KU296808.1	2015-01-01
KU296807.1	2015-01-08
KU296806.1	2015-01-03
KU296805.1	2015-01-24
KU296804.1	2015-06-09
KU296803.1	2015-03-26
KU296802.1	2015-06-10
KU296801.1	2015-01-04
KU296800.1	2015-03-17
KU296799.1	2015-02-06
KU296798.1	2015-03-14
KU296797.1	2015-01-27
KU296796.1	2015-06-13
KU296795.1	2015-04-04
KU296794.1	2015-01-06
KU296793.1	2015-06-09
KU296792.1	2015-02-06
KU296791.1	2015-01-15
KU296790.1	2015-05-04
KU296789.1	2015-01-05
KU296788.1	2015-02-22
KU296787.1	2015-03-10
KU296786.1	2015-01-19
KU296785.1	2015-01-31
KU296784.1	2015-03-29
KU296783.1	2015-02-23
KU296782.1	2015-03-12
KU296781.1	2015-01-22
KU296780.1	2015-02-18
KU296779.1	2015-01-06
KU296778.1	2014-12-16
KU296777.1	2015-01-02
KU296776.1	2014-12-09
KU296775.1	2015-08-28
KU296774.1	2014-12-02
KU296773.1	2015-01-29
KU296772.1	2015-01-14
KU296771.1	2015-03-11
KU296770.1	2014-12-21
KU296769.1	2015-04-19
KU296768.1	2015-04-04
KU296767.1	2015-01-09
KU296766.1	2015-03-15
KU296765.1	2015-02-11
KU296764.1	2015-03-24
KU296763.1	2015-04-19
KU296762.1	2014-12-02
KU296761.1	2014-12-30
KU296760.1	2015-02-25
KU296759.1	2015-02-25
KU296758.1	2015-01-06
KU296757.1	2015-05-15
KU296756.1	2015-01-11
KU296755.1	2015-02-13
KU296754.1	2015-03-10
KU296753.1	2015-06-04
KU296752.1	2015-02-28
KU296751.1	2015-02-08
KU296750.1	2015-02-21
KU296749.1	2015-03-03
KU296748.1	2015-01-05
KU296747.1	2015-02-02
KU296746.1	2015-01-30
KU296745.1	2015-02-10
KU296744.1	2015-03-24
KU296743.1	2015-04-11
KU296742.1	2015-01-11
KU296741.1	2015-02-10
KU296740.1	2015-05-27
KU296739.1	2015-01-15
KU296738.1	2014-12-10
KU296737.1	2015-04-25
KU296736.1	2015-02-22
KU296735.1	2014-12-02
KU296734.1	2015-01-04
KU296733.1	2015-01-02
KU296732.1	2015-05-18
KU296731.1	2015-01-22
KU296730.1	2015-01-16
KU296729.1	2015-04-15
KU296728.1	2015-02-12
KU296727.1	2015-07-04
KU296726.1	2014-12-13
KU296725.1	2015-03-10
KU296724.1	2015-03-13
KU296723.1	2015-04-15
KU296722.1	2015-02-10
KU296721.1	2015-02-09
KU296720.1	2015-03-04
KU296719.1	2015-02-24
KU296718.1	2014-12-21
KU296717.1	2014-12-27
KU296716.1	2015-01-16
KU296715.1	2015-07-05
KU296714.1	2015-01-18
KU296713.1	2015-03-07
KU296712.1	2015-06-06
KU296710.1	2015-01-06
KU296709.1	2014-12-12
KU296708.1	2015-02-09
KU296707.1	2015-02-06
KU296706.1	2015-01-05
KU296705.1	2014-12-08
KU296704.1	2015-03-07
KU296703.1	2015-03-05
KU296702.1	2015-03-01
KU296701.1	2015-07-09
KU296700.1	2015-01-03
KU296699.1	2015-03-31
KU296698.1	2015-01-29
KU296697.1	2015-02-21
KU296696.1	2015-01-10
KU296695.1	2015-03-05
KU296694.1	2015-02-28
KU296693.1	2015-02-06
KU296692.1	2015-03-23
KU296691.1	2014-12-22
KU296690.1	2015-07-05
KU296689.1	2015-03-12
KU296688.1	2015-03-14
